Repos,Tous les Catipats ont fait la sieste et sont maintenant en pleine forme !,Super !,Super !,,,10,0,0,0,10,0,0,0,1,1,Carte1,4:8:12:16:20,1
Thon à la cantine,Il y a du thon à la cantine pour le repas d'aujourd'hui !,Super !,Super !,,,10,0,0,0,10,0,0,0,1,1,Carte2,4:8:12:16:20,1
Café,Pause café pour les Catipats !,Super !,Super !,,,10,0,0,0,10,0,0,0,1,1,Carte3,4:8:12:16:20,1
Séance de jeu,Les Catipats ont joué ensemble à Bario Kart et se sont beaucoup amusés !,Super !,Super !,,,10,0,0,0,10,0,0,0,1,1,Carte4,4:8:12:16:20,1
Sport,Les Catipats ont fait du sport et sont en pleine forme !,Super !,Super !,,,10,0,0,0,10,0,0,0,1,1,Carte5,4:8:12:16:20,1
 ,Un docteur vient prendre des nouvelles des Catipats !,Super !,Super !,,,10,0,0,0,10,0,0,0,1,1,Carte6,4:8:12:16:20,1
Brocante,Les Catipats ont participé à une brocante afin de gagner un peu d'argent !,Super !,Super !,,,0,0,0,10,0,0,0,10,1,1,Carte7,4:8:12:16:20,1
Evenement caritatif,Un evenement caritatif a aidé au financement de notre recherche !,Super !,Super !,,,10,0,0,10,10,0,0,10,1,1,Carte8,4:8:12:16:20,1
Rencontre avec une célébrité,Un chercheur célèbre est venu visiter notre hôpital !,Super !,Super !,,,0,10,10,0,0,10,10,0,1,1,Carte9,4:8:12:16:20,1
Qui participe à l'essai ?,Je souhaite que les participants inclus dans mon essai ressemblent à population réelle des catipat's malades.,J'inclus uniquement des catipat's roses malades et jeunes.,J'inclus tous les catipat's malades quels que soient leur âge et leur pelage.,"Plus les participants sont divers (âge, maladies, revenus..), plus les résultats de l'étude seront généralisables et utilisables à toute la population.","Plus les participants sont divers (âge, maladies, revenus..), plus les résultats de l'étude seront généralisables et utilisables à toute la population.",0,-20,5,0,0,15,20,-20,1,2,Carte10,1:2:3:5:6:9:10:11:13:15:17:18:19,1
Quel traitement ?,"Il faut réflechir aux modalités du magic traitement (fréquence de prise, une pilule, un sirop, une piqure, etc).",J'implique uniquement mes collègues chercheurs lors d'une réunion d'une heure.,J'organise une rencontre sur un week end avec des catipat's-chercheurs et des chercheurs.,Il est recommandé d'inclure les patients dans le processus de recherche (et dès le début !) pour avoir une étude centrée sur leurs préoccupations et non celles des chercheurs.,Il est recommandé d'inclure les patients dans le processus de recherche (et dès le début !) pour avoir une étude centrée sur leurs préoccupations et non celles des chercheurs.,-15,0,0,0,20,20,0,-20,1,2,Carte11,1:2:3:5:6:9:10:11:13:15:17:18:19,1
Quel critère d'efficacité ?,Nous devons choisir un critère pour évaluer si le traitement marche à la fin de l'essai ou non.,Je mesure le nombre de decibels et d'heures de miaulements un mois après le traitement.,Je mesure le bien-être du catipat's 1 an après le traitement.,"Certaines mesures peuvent sembler plus scientifiques (comme une prise de sang) mais sont parfois éloignées des critères importants pour les patients et le bon suivi de leurs maladies. En revanche, ces derniers sont parfois côuteux.","Certaines mesures peuvent sembler plus scientifiques (comme une prise de sang) mais sont parfois éloignées des critères importants pour les patients et le bon suivi de leurs maladies. En revanche, ces derniers sont parfois côuteux.",0,10,0,0,10,20,0,-30,2,2,Carte12,1:2:3:5:6:9:10:11:13:15:17:18:19,1
Placebo or not placebo ?,"Pour étudier l'efficacité du magic traitement, je le compare à un placebo (comprimé inactif sans effet) ?",Oui.,Non.,"Utiliser un placebo permet de garantir que les patients soient suivis de la même manière tout au long de l'essai. Recevoir un placebo n'a pas d'effet pour chaque patient indivuellement, mais permet de faire avancer la recherche de façon collective. En revanche, ne pas savoir si on a le traitament actif ou le placebo peut être stressant pour les patients.","Utiliser un placebo permet de garantir que les patients soient suivis de la même manière tout au long de l'essai. Recevoir un placebo n'a pas d'effet pour chaque patient indivuellement, mais permet de faire avancer la recherche de façon collective. En revanche, ne pas savoir si on a le traitament actif ou le placebo peut être stressant pour les patients.",-10,20,0,-40,0,-10,0,20,1,1,Carte13,1:2:3:5:6:9:10:11:13:15:17:18:19,
Tirage au sort ?,Je tire au sort les catipat's qui recevront le placebo ou le magic traitement ?,Oui.,Non.,"Le tirage au sort (appelé ""randomisation"") permet de garantir que les patients dans les deux groupes se ressemblent (même moyenne d'âge, etc...). Ainsi, on sera certain que la différence qu'on trouvera à la fin sera dûe au traitement.","Le tirage au sort (appelé ""randomisation"") permet de garantir que les patients dans les deux groupes se ressemblent (même moyenne d'âge, etc...). Ainsi, on sera certain que la différence qu'on trouvera à la fin sera dûe au traitement.",0,20,0,-10,0,-20,0,0,3,1,Carte14,1:2:3:5:6:9:10:11:13:15:17:18:19,
Combien de participants ?,"Pour montrer que notre traitement est efficace,",je choisis de recruter 100 catipat's.,je choisis de recruter 1000 catipat's.,"Plus on a de patients dans une étude, mieux c'est pour la précision et la rigueur scientifique. Par contre, cela est souvent très difficile de trouver suffisamment de patients qui veulent bien participer à la recherche.","Plus on a de patients dans une étude, mieux c'est pour la précision et la rigueur scientifique. Par contre, cela est souvent très difficile de trouver suffisamment de patients qui veulent bien participer à la recherche.",0,-10,0,10,0,20,20,-40,1,3,Carte15,1:2:3:5:6:9:10:11:13:15:17:18:19,
C'est parti pour la compagne de recrutement ?,J'hésite...,"Mon ami, patron du Club de Golf de Luxury-ville  me propose de recruter des catipat's golfeurs pour l'essai.",Je contacte Cat'FM et MiaouTV pour réaliser une campagne médiatique nationale.,Il est préférable de diversifier les origines sociales et géographiques des participants.,Il est préférable de diversifier les origines sociales et géographiques des participants.,0,-15,5,0,0,10,15,-30,1,1,Carte16,1:2:3:5:6:9:10:11:13:15:17:18:19,1
Ne me quitte pas !,"Des catipat's risquent de quitter l'etude, je leur envoie un SMS quotidien ?",Oui.,Non.,Il faut parfois sacrifier un peu de rigueur scientifique pour veiller au bien-être des patients.,Il faut parfois sacrifier un peu de rigueur scientifique pour veiller au bien-être des patients.,-15,5,0,-20,10,-10,0,0,1,1,Carte17,1:2:3:5:6:9:10:11:13:15:17:18:19,
Money money,l'entreprise Gafam souhaite racheter les données de l'étude pour une grosse somme d'argent ?,Oui.,Non.,Garantir l'intégrité et la protection des données des patients est crucial !,Garantir l'intégrité et la protection des données des patients est crucial !,-20,0,0,40,0,0,0,0,1,1,Carte18,1:2:3:5:6:9:10:11:13:15:17:18:19,
Opportunité à saisir ?,"Je constate une baisse de recrutement des catipat's, un patient ambassadeur est chargé de parrainer l'essai ?",Oui.,Non.,"Participer à la recherche peut se faire de plein de façons: être participant d'un essai, être parrain ou ambassadeur d'une recherche, être patient-chercheur...etc","Participer à la recherche peut se faire de plein de façons: être participant d'un essai, être parrain ou ambassadeur d'une recherche, être patient-chercheur...etc",25,20,40,-20,0,0,0,0,1,1,Carte19,7:14:21,1
Autre opportunité à saisir ?,Un catipat' influenceur vous propose de relayer l'étude sur son compte instacat ?,Oui.,Non.,Quand un patient invite d'autres patients à participer cela marche souvent mieux que quand il s'agit d'un chercheur.,Quand un patient invite d'autres patients à participer cela marche souvent mieux que quand il s'agit d'un chercheur.,25,0,40,0,0,0,0,0,1,1,Carte20,7:14:21,1
Tout est dans la fin !,"L'essai prend fin, vous envoyez les résultats aux catipat's de l'étude ?",Oui.,Non.,"Des patients vous ont fait confiance, et un nouveau traitement va peut-être arriver sur le marché basé sur des données frauduleuses, cela est inacceptable.","Des patients vous ont fait confiance, et un nouveau traitement va peut-être arriver sur le marché basé sur des données frauduleuses, cela est inacceptable.",0,0,0,-20,0,0,0,0,1,1,Carte21,14:21,1
Oups !,Certains catipats développent des effets indésirables inattendus et se voient pousser une deuxième queue : je mets en place une cellule pour enregistrer ces évènements ?,Oui.,Non.,Il est important de garantir la sécurité des patients à tout moment d'une recherche.,Il est important de garantir la sécurité des patients à tout moment d'une recherche.,0,15,0,-20,0,-5,0,0,1,1,Carte22,7:14:21,1
#datacrash,"Aïe aïe aïe, le serveur qui contenait vos données a planté! Vous avez perdu toutes les données des 10 derniers catipat's inclus.","C'est désastreux, vous décidez d'inventer des fausses données de ces catipat's. (cela n'aura pas trop d'impact sur les résultats finaux).","C'est dommage, mais tant pis, vous redoublez d'effort pour retrouver 10 nouveaux catipat's qui acceptent de participer.","Des patients vous ont fait confiance, et un nouveau traitement va peut-être arriver sur le marché basé sur des données frauduleuses, cela est inacceptable.","Des patients vous ont fait confiance, et un nouveau traitement va peut-être arriver sur le marché basé sur des données frauduleuses, cela est inacceptable.",0,-25,0,0,0,20,0,-30,1,3,Carte23,1:2:3:5:6:9:10:11:13:15:17:18:19,